LOC,CC,PC,label
52.0,6.0,2.0,1
14.0,2.0,1.0,2
51.0,13.0,1.0,2
8.0,2.0,1.0,2
3.0,1.0,1.0,2
30.0,8.0,1.0,1
7.0,2.0,2.0,2
16.0,1.0,0.0,2
17.0,5.0,0.0,2
27.0,6.0,0.0,2
384.0,122.0,1.0,1
27.0,6.0,1.0,2
9.0,1.0,7.0,2
9.0,2.0,3.0,1
4.0,1.0,1.0,2
10.0,1.0,0.0,1
17.0,2.0,4.0,2
0.0,1.0,0.0,2
3.0,1.0,0.0,2
15.0,1.0,0.0,2
4.0,1.0,0.0,1
15.0,3.0,0.0,2
30.0,11.0,2.0,2
22.0,5.0,3.0,1
7.0,1.0,2.0,2
3.0,1.0,0.0,2
9.0,1.0,0.0,2
36.0,6.0,2.0,1
30.0,5.0,3.0,2
3.0,1.0,6.0,2
11.0,2.0,1.0,2
16.0,3.0,3.0,1
30.0,10.0,1.0,1
3.0,1.0,0.0,1
18.0,5.0,2.0,1
41.0,9.0,0.0,2
6.0,1.0,0.0,1
33.0,7.0,0.0,2
3.0,1.0,0.0,2
7.0,2.0,1.0,2
15.0,3.0,4.0,1
9.0,1.0,7.0,1
40.0,14.0,0.0,2
18.0,4.0,1.0,1
10.0,3.0,0.0,1
6.0,2.0,1.0,1
28.0,2.0,1.0,1
22.0,7.0,2.0,2
34.0,8.0,1.0,2
28.0,4.0,2.0,1
13.0,2.0,0.0,2
18.0,3.0,1.0,1
0.0,1.0,4.0,2
49.0,7.0,0.0,2
4.0,1.0,0.0,2
53.0,7.0,1.0,1
4.0,1.0,5.0,2
10.0,3.0,2.0,2
42.0,6.0,0.0,2
6.0,1.0,0.0,1
3.0,1.0,1.0,2
183.0,38.0,5.0,1
15.0,1.0,4.0,1
3.0,1.0,1.0,1
15.0,1.0,10.0,2
3.0,1.0,0.0,2
16.0,4.0,0.0,2
7.0,1.0,1.0,1
11.0,2.0,1.0,1
5.0,1.0,3.0,2
16.0,4.0,1.0,1
11.0,4.0,5.0,2
12.0,3.0,1.0,2
32.0,9.0,1.0,2
3.0,1.0,0.0,2
5.0,2.0,1.0,1
3.0,1.0,1.0,2
10.0,2.0,1.0,1
2.0,1.0,0.0,2
129.0,38.0,3.0,2
8.0,2.0,1.0,2
8.0,1.0,6.0,1
14.0,4.0,1.0,2
38.0,8.0,1.0,1
3.0,1.0,1.0,1
11.0,1.0,3.0,1
34.0,1.0,1.0,1
37.0,7.0,1.0,1
10.0,2.0,0.0,2
25.0,6.0,3.0,2
9.0,1.0,0.0,1
4.0,1.0,0.0,2
3.0,1.0,1.0,2
3.0,1.0,0.0,2
14.0,3.0,1.0,1
6.0,2.0,1.0,1
27.0,1.0,0.0,2
15.0,1.0,2.0,2
