NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,label
3.0,0.0,2.0,2.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,1
7.0,0.0,13.0,13.0,273.0,29.0,1.0,0.0,0.0,0.0,8.0,1
11.0,0.0,22.0,22.0,254.0,22.0,0.0,0.0,0.5454545454545454,41.0,0.0,1
1.0,0.0,3.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,-1.0,0.0,1.0,1
3.0,0.0,3.0,2.0,61.0,6.0,0.0,0.0,0.6666666666666666,6.0,1.0,2
8.0,0.0,9.0,8.0,392.0,40.0,0.0,0.0,0.0,9.0,3.0,1
5.0,0.0,7.0,5.0,42.0,11.0,0.0,0.0,0.0,2.0,2.0,1
0.0,0.0,1.0,1.0,8.0,1.0,0.0,1.0,-1.0,0.0,0.0,1
0.0,0.0,11.0,11.0,47.0,11.0,0.0,0.0,-1.0,4.0,2.0,2
2.0,0.0,6.0,6.0,28.0,7.0,0.0,0.0,0.0,4.0,1.0,2
4.0,0.0,3.0,3.0,27.0,4.0,0.0,0.0,0.0,0.0,3.0,2
0.0,0.0,6.0,6.0,34.0,6.0,0.0,0.0,-1.0,0.0,2.0,2
1.0,0.0,3.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,2.0,2.0,21.0,2.0,0.0,0.0,-1.0,0.0,1.0,1
3.0,0.0,2.0,2.0,21.0,5.0,0.0,0.0,0.0,1.0,0.0,2
0.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,-1.0,0.0,1.0,1
0.0,0.0,22.0,22.0,127.0,22.0,0.0,0.0,-1.0,7.0,3.0,1
35.0,1.0,85.0,57.0,1108.0,185.0,0.0,1.0,0.058823529411764705,2.0,12.0,2
4.0,0.0,10.0,10.0,112.0,16.0,0.0,1.0,0.4,0.0,1.0,1
3.0,0.0,3.0,2.0,44.0,3.0,2.0,0.0,0.0,0.0,0.0,1
0.0,0.0,2.0,2.0,18.0,2.0,0.0,0.0,-1.0,0.0,1.0,1
0.0,0.0,1.0,1.0,17.0,6.0,0.0,1.0,-1.0,0.0,0.0,1
19.0,2.0,70.0,61.0,797.0,174.0,0.0,0.0,0.12857142857142856,3.0,26.0,2
5.0,0.0,14.0,14.0,66.0,15.0,0.0,0.0,0.0,4.0,1.0,2
8.0,0.0,13.0,13.0,67.0,20.0,0.0,0.0,0.23076923076923078,0.0,0.0,2
1.0,0.0,3.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,-1.0,0.0,0.0,1
0.0,0.0,13.0,1.0,140.0,15.0,0.0,0.0,-1.0,2.0,1.0,2
0.0,0.0,2.0,1.0,20.0,3.0,0.0,0.0,-1.0,1.0,3.0,2
1.0,0.0,5.0,5.0,41.0,10.0,0.0,2.0,0.8,1.0,1.0,2
5.0,0.0,15.0,12.0,131.0,23.0,14.0,0.0,0.5333333333333333,0.0,6.0,2
16.0,0.0,18.0,15.0,290.0,57.0,0.0,0.0,0.0,4.0,13.0,2
0.0,0.0,2.0,2.0,14.0,2.0,0.0,0.0,-1.0,0.0,1.0,1
1.0,0.0,2.0,1.0,20.0,3.0,0.0,2.0,1.0,0.0,3.0,2
2.0,0.0,4.0,3.0,27.0,4.0,0.0,0.0,0.5,0.0,3.0,1
1.0,0.0,4.0,4.0,38.0,4.0,0.0,1.0,1.0,0.0,0.0,1
3.0,0.0,70.0,70.0,266.0,72.0,1.0,1.0,0.9428571428571428,0.0,0.0,1
4.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,-1.0,3.0,0.0,1
1.0,0.0,9.0,9.0,68.0,11.0,0.0,0.0,0.4444444444444444,0.0,3.0,1
6.0,0.0,2.0,1.0,20.0,2.0,0.0,0.0,0.0,1.0,2.0,1
0.0,0.0,3.0,3.0,14.0,3.0,0.0,0.0,-1.0,0.0,0.0,1
0.0,0.0,1.0,1.0,8.0,1.0,0.0,1.0,-1.0,0.0,0.0,1
1.0,0.0,3.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,1
2.0,0.0,7.0,6.0,76.0,9.0,0.0,1.0,0.0,0.0,1.0,1
3.0,0.0,5.0,5.0,54.0,5.0,0.0,2.0,0.6,3.0,0.0,1
1.0,0.0,6.0,5.0,59.0,6.0,0.0,1.0,0.5,0.0,3.0,1
3.0,0.0,2.0,2.0,34.0,5.0,0.0,0.0,0.0,0.0,8.0,1
0.0,0.0,1.0,1.0,13.0,1.0,0.0,0.0,-1.0,0.0,0.0,2
1.0,0.0,1.0,1.0,16.0,2.0,0.0,0.0,0.0,1.0,5.0,2
7.0,0.0,11.0,11.0,216.0,21.0,0.0,1.0,0.36363636363636365,0.0,1.0,1
1.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,1
4.0,0.0,2.0,2.0,17.0,3.0,0.0,0.0,0.0,0.0,1.0,1
7.0,0.0,17.0,7.0,295.0,61.0,0.0,0.0,0.29411764705882354,1.0,12.0,2
5.0,0.0,5.0,3.0,36.0,9.0,0.0,0.0,0.0,2.0,2.0,2
2.0,0.0,5.0,3.0,46.0,7.0,0.0,0.0,0.6,0.0,7.0,1
4.0,0.0,4.0,4.0,59.0,10.0,0.0,0.0,0.75,17.0,2.0,2
1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-1.0,1.0,0.0,1
7.0,0.0,6.0,3.0,229.0,35.0,0.0,0.0,0.0,0.0,7.0,1
3.0,0.0,8.0,5.0,125.0,12.0,0.0,0.0,0.625,0.0,10.0,1
0.0,0.0,1.0,1.0,19.0,3.0,0.0,1.0,-1.0,0.0,3.0,2
0.0,0.0,1.0,1.0,37.0,7.0,0.0,0.0,-1.0,6.0,0.0,2
1.0,0.0,2.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,1
21.0,0.0,44.0,28.0,580.0,101.0,0.0,0.0,0.09090909090909091,1.0,12.0,2
2.0,0.0,8.0,8.0,48.0,8.0,0.0,0.0,1.0,0.0,4.0,2
2.0,0.0,2.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1
2.0,0.0,10.0,9.0,105.0,17.0,1.0,1.0,0.0,1.0,3.0,1
5.0,0.0,10.0,10.0,103.0,22.0,0.0,0.0,0.0,1.0,2.0,2
0.0,0.0,1.0,1.0,12.0,1.0,3.0,0.0,-1.0,0.0,1.0,1
13.0,6.0,3.0,3.0,98.0,7.0,0.0,0.0,0.6666666666666666,0.0,12.0,1
0.0,0.0,3.0,3.0,17.0,3.0,0.0,2.0,-1.0,1.0,1.0,2
6.0,0.0,8.0,8.0,56.0,17.0,0.0,0.0,0.0,2.0,0.0,2
0.0,0.0,3.0,3.0,36.0,7.0,0.0,0.0,-1.0,88.0,0.0,2
1.0,0.0,3.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,1
3.0,0.0,4.0,3.0,30.0,7.0,0.0,0.0,0.0,0.0,2.0,1
5.0,0.0,13.0,8.0,269.0,54.0,0.0,0.0,0.23076923076923078,1.0,11.0,2
0.0,0.0,3.0,3.0,14.0,3.0,0.0,3.0,-1.0,2.0,3.0,2
3.0,0.0,200.0,199.0,1741.0,214.0,0.0,1.0,0.015,4.0,2.0,1
